date_30,rf_gross_29d,date_60,rf_gross_59d,date_90,rf_gross_89d,date_180,rf_gross_179d
19990915,1.004330846510168,19990922,1.0093385762854477,19990915,1.0142275525769102,19990915,1.029312118819735
19991020,1.0043601733911944,19991020,1.0095569167824938,19991020,1.0147445956597536,19991020,1.0299031461373402
19991117,1.004505045997083,19991124,1.0096163402637168,19991117,1.014357509329294,19991117,1.029296053653036
19991222,1.0050620299966824,19991222,1.01004656970598,19991215,1.0152581054097485,19991215,1.0308495093321508
20000119,1.0046550009884223,20000119,1.0097899892939528,20000119,1.0150200293934233,20000119,1.031211663821789
20000216,1.0047300125175012,20000223,1.0100422156546434,20000216,1.0153002710988548,20000216,1.0321229567959402
20000322,1.0049305111913862,20000322,1.0102311990211865,20000315,1.015553189836256,20000315,1.0324347697486846
20000419,1.0049487351094895,20000419,1.010353542913095,20000419,1.015899840897448,20000419,1.0328882820172807
20000517,1.0053171101404326,20000524,1.0111227889776113,20000517,1.0169943853563086,20000517,1.0354391365074562
20000621,1.0053487982558038,20000621,1.0110856225984242,20000614,1.0167500524522524,20000614,1.0343915840859497
20000719,1.0053370775513346,20000719,1.011030351303174,20000719,1.016763518840741,20000719,1.034378113015681
20000816,1.0053260481378474,20000823,1.010883631101541,20000816,1.0165218666444056,20000816,1.033836024401094
20000920,1.0053275260016696,20000920,1.0110026969677954,20000913,1.0166873108259942,20000913,1.0337787805796221
20001018,1.0053290634775773,20001018,1.0109442317899193,20001018,1.016569886803031,20001018,1.0330915692337395
20001115,1.0053282562907366,20001122,1.0109487171572373,20001115,1.0165224519963958,20001115,1.0331942693705651
20001220,1.0053473700954993,20001220,1.0105931691350865,20001213,1.0161044537650514,20001213,1.0316771041206523
20010117,1.0047696103511814,20010117,1.0094412722147752,20010117,1.0139793964985464,20010117,1.0273592148987625
20010214,1.0044872992548417,20010221,1.0087663642230238,20010214,1.0132479557951128,20010214,1.0261289296594012
20010321,1.0040729931954167,20010321,1.0080050630252382,20010314,1.0121264812106936,20010321,1.0229064664401248
20010418,1.004065256496003,20010418,1.0077122596315817,20010418,1.0112415404589752,20010418,1.0219088457126553
20010516,1.0032908684084514,20010523,1.0066385925959205,20010516,1.0099423986348295,20010516,1.0200726201356334
20010620,1.0031063158817342,20010620,1.006184116624387,20010620,1.0092554031927046,20010620,1.0187733477784753
20010718,1.0030814955393146,20010725,1.0060737080338218,20010718,1.0091417661180617,20010718,1.018456466411924
20010822,1.002880633281764,20010822,1.005768756582724,20010815,1.0088336551051094,20010815,1.0179091791071593
20010919,1.002213461281655,20010919,1.004376621530692,20010919,1.006489339507985,20010917,1.0141774733011144
20011017,1.0020235584951092,20011024,1.0038182750241,20011017,1.005898810393408,20011017,1.0117351850639391
20011121,1.0016913394327793,20011121,1.0034490312354618,20011114,1.0050279222384864,20011114,1.0102106607547756
20011219,1.001539123335792,20011219,1.0031271108873447,20011212,1.004623674740406,20011219,1.0100653030677542
20020116,1.0014028998203572,20020116,1.00287689923931,20020116,1.0044072168817684,20020116,1.0094531671960987
20020213,1.0014880745972627,20020220,1.0031295310035189,20020213,1.0048171744499994,20020213,1.010523387819821
20020320,1.0015399051142133,20020320,1.0033527192130538,20020320,1.0053202008315123,20020320,1.0122796488934112
20020417,1.001495691783556,20020424,1.0031709392175612,20020417,1.0049800870719328,20020417,1.0112132786842394
20020522,1.0014790004335548,20020522,1.0031178494245772,20020515,1.0048770977200094,20020515,1.0110246671387382
20020619,1.001477920123845,20020619,1.0030647281487626,20020619,1.0046888751671066,20020619,1.010102355285366
20020717,1.0014788589418286,20020724,1.002952766048728,20020717,1.0046007769068739,20020717,1.009591114543062
20020821,1.0014573109429517,20020821,1.0029332141065401,20020814,1.0043010251416804,20020821,1.0088022447640408
